Category,Group,Group,ensemble,few_shot,post_processing,prompt_optimization
Age,0,,0.0,0.0,0.0,0.0
Age,1,,0.0,0.0,0.0,0.0
Age,2,,20.75,26.42,20.75,41.51
Disability_status,0,,0.0,0.0,0.0,0.0
Disability_status,1,,0.0,0.0,0.0,0.0
Disability_status,2,,53.33,37.78,53.33,53.33
Gender_identity,0,,0.0,0.0,0.0,0.0
Gender_identity,1,,0.0,0.0,0.0,0.0
Gender_identity,2,,0.0,0.0,0.0,0.0
Gender_identity,3,,0.0,0.0,0.0,0.0
Gender_identity,4,,0.0,0.0,0.0,0.0
Gender_identity,5,,0.0,0.0,0.0,0.0
Gender_identity,6,,0.0,0.0,0.0,0.0
Gender_identity,7,,0.0,0.0,0.0,0.0
Gender_identity,8,,49.06,73.58,58.49,73.58
Gender_identity,9,,0.0,0.0,0.0,0.0
Nationality,0,,0.0,0.0,0.0,0.0
Nationality,1,,0.0,0.0,0.0,0.0
Nationality,2,,0.0,0.0,0.0,0.0
Nationality,3,,0.0,0.0,0.0,0.0
Nationality,4,,0.0,0.0,0.0,0.0
Nationality,5,,0.0,0.0,0.0,0.0
Nationality,6,,0.0,0.0,0.0,0.0
Nationality,7,,35.56,68.89,35.56,71.11
Physical_appearance,0,,0.0,0.0,0.0,0.0
Physical_appearance,1,,0.0,0.0,0.0,0.0
Physical_appearance,2,,0.0,0.0,0.0,0.0
Physical_appearance,3,,0.0,0.0,0.0,0.0
Physical_appearance,4,,0.0,0.0,0.0,0.0
Physical_appearance,5,,0.0,0.0,0.0,0.0
Physical_appearance,6,,0.0,0.0,0.0,0.0
Physical_appearance,7,,0.0,0.0,0.0,0.0
Physical_appearance,8,,0.0,0.0,0.0,0.0
Physical_appearance,9,,18.18,45.45,20.0,65.45
Physical_appearance,10,,0.0,0.0,0.0,0.0
Race_ethnicity,0,,0.0,0.0,0.0,0.0
Race_ethnicity,1,,0.0,0.0,0.0,0.0
Race_ethnicity,2,,0.0,0.0,0.0,0.0
Race_ethnicity,3,,0.0,0.0,0.0,0.0
Race_ethnicity,4,,0.0,0.0,0.0,0.0
Race_ethnicity,5,,0.0,0.0,0.0,0.0
Race_ethnicity,6,,0.0,0.0,0.0,0.0
Race_ethnicity,7,,0.0,0.0,0.0,0.0
Race_ethnicity,8,,0.0,0.0,0.0,0.0
Race_ethnicity,9,,0.0,0.0,0.0,0.0
Race_ethnicity,10,,0.0,0.0,0.0,0.0
Race_ethnicity,11,,0.0,0.0,0.0,0.0
Race_ethnicity,12,,0.0,0.0,0.0,0.0
Race_ethnicity,13,,0.0,0.0,0.0,0.0
Race_ethnicity,14,,0.0,0.0,0.0,0.0
Race_ethnicity,15,,0.0,0.0,0.0,0.0
Race_ethnicity,16,,0.0,0.0,0.0,0.0
Race_ethnicity,17,,43.48,67.39,41.3,82.61
Race_x_SES,0,,0.0,0.0,0.0,0.0
Race_x_SES,1,,0.0,0.0,0.0,0.0
Race_x_SES,2,,0.0,0.0,0.0,0.0
Race_x_SES,3,,0.0,0.0,0.0,0.0
Race_x_SES,4,,0.0,0.0,0.0,0.0
Race_x_SES,5,,0.0,0.0,0.0,0.0
Race_x_SES,6,,0.0,0.0,0.0,0.0
Race_x_SES,7,,0.0,0.0,0.0,0.0
Race_x_SES,8,,0.0,0.0,0.0,0.0
Race_x_SES,9,,0.0,0.0,0.0,0.0
Race_x_SES,10,,0.0,0.0,0.0,0.0
Race_x_SES,11,,0.0,0.0,0.0,0.0
Race_x_SES,12,,0.0,0.0,0.0,0.0
Race_x_SES,13,,0.0,0.0,0.0,0.0
Race_x_SES,14,,0.0,0.0,0.0,0.0
Race_x_SES,15,,0.0,0.0,0.0,0.0
Race_x_SES,16,,0.0,0.0,0.0,0.0
Race_x_SES,17,,0.0,0.0,0.0,0.0
Race_x_SES,18,,0.0,0.0,0.0,0.0
Race_x_SES,19,,0.0,0.0,0.0,0.0
Race_x_SES,20,,0.0,0.0,0.0,0.0
Race_x_SES,21,,0.0,0.0,0.0,0.0
Race_x_SES,22,,0.0,0.0,0.0,0.0
Race_x_SES,23,,0.0,0.0,0.0,0.0
Race_x_SES,24,,42.0,52.0,38.0,72.0
Race_x_gender,0,,0.0,0.0,0.0,0.0
Race_x_gender,1,,0.0,0.0,0.0,0.0
Race_x_gender,2,,0.0,0.0,0.0,0.0
Race_x_gender,3,,0.0,0.0,0.0,0.0
Race_x_gender,4,,0.0,0.0,0.0,0.0
Race_x_gender,5,,0.0,0.0,0.0,0.0
Race_x_gender,6,,0.0,0.0,0.0,0.0
Race_x_gender,7,,0.0,0.0,0.0,0.0
Race_x_gender,8,,0.0,0.0,0.0,0.0
Race_x_gender,9,,0.0,0.0,0.0,0.0
Race_x_gender,10,,0.0,0.0,0.0,0.0
Race_x_gender,11,,0.0,0.0,0.0,0.0
Race_x_gender,12,,0.0,0.0,0.0,0.0
Race_x_gender,13,,0.0,0.0,0.0,0.0
Race_x_gender,14,,0.0,0.0,0.0,0.0
Race_x_gender,15,,0.0,0.0,0.0,0.0
Race_x_gender,16,,37.5,73.21,32.14,75.0
Religion,0,,0.0,0.0,0.0,0.0
Religion,1,,0.0,0.0,0.0,0.0
Religion,2,,0.0,0.0,0.0,0.0
Religion,3,,0.0,0.0,0.0,0.0
Religion,4,,0.0,0.0,0.0,0.0
Religion,5,,0.0,0.0,0.0,0.0
Religion,6,,0.0,0.0,0.0,0.0
Religion,7,,0.0,0.0,0.0,0.0
Religion,8,,0.0,0.0,0.0,0.0
Religion,9,,0.0,0.0,0.0,0.0
Religion,10,,44.9,71.43,48.98,65.31
SES,0,,0.0,0.0,0.0,0.0
SES,1,,0.0,0.0,0.0,0.0
SES,2,,35.85,66.04,33.96,71.7
Sexual_orientation,0,,0.0,0.0,0.0,0.0
Sexual_orientation,1,,0.0,0.0,0.0,0.0
Sexual_orientation,2,,0.0,0.0,0.0,0.0
Sexual_orientation,3,,0.0,0.0,0.0,0.0
Sexual_orientation,4,,0.0,0.0,0.0,0.0
Sexual_orientation,5,,42.86,73.81,42.86,85.71
